(1.0, (45, 25), None)
(19.798989873223338, (36, 9), (37, 10))
(19.82842712474619, (31, 11), (32, 12))
(19.82842712474619, (47, 6), (46, 7))
(19.899494936611667, (43, 6), (44, 7))
(19.970562748477146, (38, 8), (39, 9))
(19.970562748477146, (30, 13), (31, 14))
(20.0, (33, 10), (34, 11))
(20.142135623730955, (45, 5), (45, 6))
(20.242640687119284, (35, 9), (36, 10))
(20.242640687119284, (48, 6), (48, 7))
(20.242640687119284, (42, 6), (42, 7))
(20.242640687119284, (48, 6), (48, 7))
(20.313708498984763, (42, 6), (42, 7))
(20.384776310850242, (37, 8), (38, 9))
(20.384776310850242, (30, 12), (31, 13))
(20.414213562373096, (32, 10), (33, 11))
(20.414213562373096, (46, 5), (45, 6))
(20.48528137423857, (44, 5), (45, 6))
(20.55634918610405, (39, 7), (39, 8))
(20.55634918610405, (34, 9), (35, 10))
(20.65685424949238, (29, 14), (30, 14))
(20.65685424949238, (49, 6), (48, 7))
(20.72792206135786, (41, 6), (42, 7))
(20.798989873223338, (36, 8), (37, 9))
(20.798989873223338, (30, 11), (31, 12))
(20.82842712474619, (31, 10), (32, 11))
(20.82842712474619, (47, 5), (46, 6))
(20.899494936611667, (43, 5), (44, 6))
(20.970562748477146, (38, 7), (39, 8))
(20.970562748477146, (33, 9), (34, 10))
(21.0, (29, 13), (30, 14))
(21.142135623730955, (45, 4), (45, 5))
(21.213203435596434, (35, 8), (36, 9))
(21.242640687119284, (30, 10), (31, 11))
(21.242640687119284, (48, 5), (48, 6))
(21.242640687119284, (42, 5), (42, 6))
(21.242640687119284, (48, 5), (48, 6))
(21.313708498984763, (42, 5), (42, 6))
(21.384776310850242, (37, 7), (38, 8))
(21.384776310850242, (29, 12), (30, 13))
(21.414213562373096, (32, 9), (33, 10))
(21.414213562373096, (46, 4), (45, 5))
(21.48528137423857, (44, 4), (45, 5))
(21.55634918610405, (39, 6), (39, 7))
(21.55634918610405, (34, 8), (35, 9))
(21.55634918610405, (28, 14), (29, 14))
(21.65685424949238, (29, 15), (29, 14))
(21.65685424949238, (49, 5), (48, 6))
(21.72792206135786, (41, 5), (42, 6))
(21.798989873223338, (36, 7), (37, 8))
(21.798989873223338, (29, 11), (30, 12))
(21.82842712474619, (31, 9), (32, 10))
(21.82842712474619, (47, 4), (46, 5))
(21.899494936611667, (43, 4), (44, 5))
(21.970562748477146, (38, 6), (39, 7))
(21.970562748477146, (33, 8), (34, 9))
(21.970562748477146, (28, 15), (29, 14))
(22.0, (28, 13), (29, 14))
(22.142135623730955, (45, 3), (45, 4))
(22.213203435596434, (35, 7), (36, 8))
(22.213203435596434, (29, 10), (30, 11))
(22.242640687119284, (30, 9), (31, 10))
(22.242640687119284, (48, 4), (48, 5))
(22.242640687119284, (42, 4), (42, 5))
(22.242640687119284, (48, 4), (48, 5))
(22.313708498984763, (42, 4), (42, 5))
(22.384776310850242, (37, 6), (38, 7))
(22.384776310850242, (32, 8), (33, 9))
(22.414213562373096, (28, 12), (29, 13))
(22.414213562373096, (46, 3), (45, 4))
(22.48528137423857, (44, 3), (45, 4))
(22.55634918610405, (39, 5), (39, 6))
(22.55634918610405, (34, 7), (35, 8))
(22.55634918610405, (27, 14), (28, 14))
(22.62741699796953, (29, 16), (29, 15))
(22.65685424949238, (29, 9), (30, 10))
(22.65685424949238, (49, 4), (48, 5))
(22.72792206135786, (41, 4), (42, 5))
(22.798989873223338, (36, 6), (37, 7))
(22.798989873223338, (28, 11), (29, 12))
(22.82842712474619, (31, 8), (32, 9))
(22.82842712474619, (47, 3), (46, 4))
(22.899494936611667, (43, 3), (44, 4))
(22.970562748477146, (38, 5), (39, 6))
(22.970562748477146, (33, 7), (34, 8))
(22.970562748477146, (27, 15), (28, 14))
(22.970562748477146, (27, 13), (28, 14))
(23.0, (28, 16), (29, 15))
(23.142135623730955, (45, 2), (45, 3))
(23.213203435596434, (35, 6), (36, 7))
(23.213203435596434, (28, 10), (29, 11))
(23.242640687119284, (30, 8), (31, 9))
(23.242640687119284, (48, 3), (48, 4))
(23.242640687119284, (42, 3), (42, 4))
(23.242640687119284, (48, 3), (48, 4))
(23.313708498984763, (42, 3), (42, 4))
(23.384776310850242, (37, 5), (38, 6))
(23.384776310850242, (32, 7), (33, 8))
(23.384776310850242, (27, 16), (28, 15))
(23.414213562373096, (27, 12), (28, 13))
(23.414213562373096, (46, 2), (45, 3))
(23.48528137423857, (44, 2), (45, 3))
(23.55634918610405, (39, 4), (39, 5))
(23.55634918610405, (34, 6), (35, 7))
(23.55634918610405, (26, 14), (27, 14))
(23.62741699796953, (29, 17), (29, 16))
(23.62741699796953, (28, 9), (29, 10))
(23.65685424949238, (29, 8), (30, 9))
(23.65685424949238, (49, 3), (48, 4))
(23.72792206135786, (41, 3), (42, 4))
(23.798989873223338, (36, 5), (37, 6))
(23.798989873223338, (31, 7), (32, 8))
(23.82842712474619, (27, 11), (28, 12))
(23.82842712474619, (47, 2), (46, 3))
(23.899494936611667, (43, 2), (44, 3))
(23.970562748477146, (38, 4), (39, 5))
(23.970562748477146, (33, 6), (34, 7))
(23.970562748477146, (26, 15), (27, 14))
(23.970562748477146, (26, 13), (27, 14))
(24.0, (28, 17), (29, 16))
(24.041630560342625, (45, 1), (45, 2))
(24.142135623730955, (28, 8), (29, 9))
(24.213203435596434, (35, 5), (36, 6))
(24.213203435596434, (27, 10), (28, 11))
(24.242640687119284, (30, 7), (31, 8))
(24.242640687119284, (48, 2), (48, 3))
(24.242640687119284, (42, 2), (42, 3))
(24.242640687119284, (48, 2), (48, 3))
(24.313708498984763, (42, 2), (42, 3))
(24.384776310850242, (37, 4), (38, 5))
(24.384776310850242, (32, 6), (33, 7))
(24.384776310850242, (26, 16), (27, 15))
(24.384776310850242, (26, 12), (27, 13))
(24.414213562373096, (27, 17), (28, 16))
(24.414213562373096, (46, 1), (45, 2))
(24.48528137423857, (44, 1), (45, 2))
(24.55634918610405, (39, 3), (39, 4))
(24.55634918610405, (34, 5), (35, 6))
(24.55634918610405, (25, 14), (26, 14))
(24.62741699796953, (29, 18), (29, 17))
(24.62741699796953, (27, 9), (28, 10))
(24.65685424949238, (29, 7), (30, 8))
(24.65685424949238, (49, 2), (48, 3))
(24.72792206135786, (41, 2), (42, 3))
(24.798989873223338, (36, 4), (37, 5))
(24.798989873223338, (31, 6), (32, 7))
(24.798989873223338, (26, 17), (27, 16))
(24.82842712474619, (26, 11), (27, 12))
(24.82842712474619, (47, 1), (46, 2))
(24.899494936611667, (43, 1), (44, 2))
(24.970562748477146, (38, 3), (39, 4))
(24.970562748477146, (33, 5), (34, 6))
(24.970562748477146, (25, 15), (26, 14))
